trial,controller,choice_stage1,state_stage2,transition,reward,reward_prob
397,model-based,0,0,common,1,0.43909388491526724
398,model-based,0,1,rare,1,0.6587019186672805
399,model-based,1,1,common,1,0.6280836388562417
400,model-based,0,1,rare,1,0.6433911295242996
401,model-free,1,0,rare,0,0.43321198273161093
402,model-free,0,1,rare,1,0.6226903965395991
403,model-free,0,0,common,1,0.368399370223202
404,model-based,0,0,common,0,0.37176192630060173
405,model-based,1,1,common,1,0.6455354723268729
406,model-free,0,0,common,0,0.3427405533591579
407,model-free,0,1,rare,1,0.6484441753440413
408,model-based,1,1,common,1,0.606837497682999
409,model-based,1,0,rare,1,0.3647756924514467
410,model-based,1,0,rare,0,0.3675449738106961
411,model-based,1,0,rare,1,0.3497310068395841
412,model-based,0,1,rare,0,0.5381994253666438
413,model-free,1,1,common,1,0.5486471401183737
414,model-free,0,0,common,0,0.3211588214813845
415,model-based,0,0,common,1,0.3248857686538889
416,model-free,0,1,rare,0,0.5177712966882593
417,model-based,0,0,common,0,0.3745615857166908
418,model-based,1,1,common,1,0.4813561765051624
419,model-based,0,0,common,0,0.31570683824043566
420,model-free,1,0,rare,1,0.3158427435721302
421,model-free,1,1,common,0,0.5153205841270233
422,model-based,0,1,rare,0,0.5126727683134398
423,model-based,0,0,common,0,0.29607083709971005
424,model-based,0,0,common,0,0.29078011174022045
425,model-based,0,1,rare,0,0.47450498493744137
426,model-free,1,0,rare,0,0.29667736619403223
427,model-free,0,0,common,0,0.2698296512688372
428,model-free,1,1,common,0,0.5067266163622816
429,model-based,0,0,common,0,0.28544032541354625
430,model-based,0,1,rare,0,0.4923670656682086
431,model-based,1,1,common,0,0.5203721765334608
432,model-based,1,1,common,0,0.49380362915363063
433,model-based,1,1,common,1,0.503652230004773
434,model-based,1,1,common,1,0.5122885523863967
435,model-based,1,1,common,1,0.5116898469978406
436,model-based,0,0,common,0,0.29312379630287255
437,model-free,1,0,rare,0,0.286403996915107
438,model-free,1,0,rare,1,0.2506902565495094
439,model-free,0,1,rare,1,0.5146478697082341
440,model-based,1,1,common,1,0.4977319045893439
441,model-based,1,0,rare,0,0.28085418366814313
442,model-free,1,1,common,0,0.5043521705569594
443,model-based,0,0,common,0,0.25
444,model-free,0,0,common,0,0.25
445,model-free,1,1,common,1,0.5361918530793607
446,model-based,1,1,common,1,0.5489667156409588
447,model-based,1,1,common,0,0.5539153309119521
448,model-based,1,0,rare,0,0.25121463933860405
449,model-based,1,0,rare,0,0.2532701902614597
450,model-free,1,0,rare,0,0.2606177028863812
451,model-based,1,1,common,1,0.5203598939112908
452,model-free,1,1,common,0,0.5145661911683008
453,model-free,1,1,common,1,0.5192211190711311
454,model-free,0,0,common,1,0.2697562328676756
455,model-free,0,0,common,0,0.25
456,model-based,0,0,common,0,0.29464849325560705
457,model-based,1,1,common,1,0.515285619050395
458,model-based,1,0,rare,1,0.31056459711604834
459,model-based,0,1,rare,1,0.5285691686835822
460,model-based,0,1,rare,1,0.4968630456251703
461,model-free,0,0,common,0,0.301760843661016
462,model-based,0,0,common,0,0.28447681924140356
463,model-free,1,0,rare,0,0.2760358070364829
464,model-free,1,0,rare,1,0.2568260569615959
465,model-free,0,1,rare,1,0.5103433267989439
466,model-free,1,1,common,0,0.49663763063215205
467,model-based,1,1,common,1,0.47267102343354706
468,model-based,0,0,common,1,0.2808062162074599
469,model-based,0,0,common,1,0.2819372995824613
470,model-based,0,0,common,1,0.28733133017209433
471,model-free,0,0,common,1,0.2930103846935571
472,model-based,0,0,common,0,0.2964082107297382
473,model-based,0,0,common,0,0.3081504969580438
474,model-based,0,1,rare,1,0.5017972229471586
475,model-based,0,0,common,0,0.36222845638533624
476,model-based,0,0,common,0,0.3358680801568019
477,model-based,1,1,common,1,0.49221873433328256
478,model-free,1,1,common,0,0.5022342678321121
479,model-based,1,1,common,0,0.47854170304289634
480,model-based,1,0,rare,0,0.27128108910897564
481,model-based,1,1,common,1,0.4898108543813394
482,model-free,1,0,rare,0,0.29406881769526416
483,model-free,1,1,common,0,0.4820005921905318
484,model-free,0,0,common,1,0.2784215139463131
485,model-free,0,0,common,0,0.2559423771455637
486,model-based,0,0,common,0,0.2551541017420506
487,model-free,0,0,common,1,0.29538846117458434
488,model-free,0,0,common,1,0.2840319860614351
489,model-based,0,0,common,1,0.2714116523787418
490,model-based,0,0,common,1,0.25
491,model-based,1,1,common,0,0.37206837595948544
492,model-based,0,1,rare,1,0.38564666971861805
493,model-based,0,0,common,0,0.25
494,model-based,1,0,rare,0,0.25678881289715666
495,model-based,1,1,common,1,0.4137064165952467
496,model-free,1,1,common,0,0.4248339947544085
497,model-based,0,1,rare,0,0.40935207279058616
498,model-based,1,1,common,0,0.4209087198506666
499,model-based,0,0,common,1,0.30123386112618566
500,model-based,0,0,common,1,0.30026242157392774
501,model-free,1,1,common,1,0.5176865075324218
502,model-based,0,0,common,1,0.31509796827103054
503,model-based,0,0,common,0,0.3003998019260517
504,model-free,0,0,common,0,0.2774309934990726
505,model-based,0,0,common,1,0.25839978865149404
506,model-based,0,0,common,0,0.25
507,model-based,0,1,rare,0,0.5074167300412642
508,model-free,0,0,common,0,0.26351765139261357
509,model-free,0,0,common,0,0.28621486373670946
510,model-based,0,0,common,0,0.2555187850934297
511,model-based,0,0,common,0,0.25
512,model-free,0,0,common,1,0.2882978605637999
513,model-free,1,1,common,0,0.43000651797261635
514,model-based,0,0,common,0,0.29975562463729816
515,model-free,1,1,common,1,0.44270040470601785
516,model-based,1,1,common,0,0.40922636469303403
517,model-based,1,1,common,1,0.42730436925989385
518,model-based,1,1,common,0,0.3885804994975415
519,model-based,1,1,common,1,0.3886906068264024
520,model-based,1,0,rare,0,0.25
521,model-based,0,1,rare,0,0.28868706306026465
522,model-free,0,0,common,0,0.2640294081571798
523,model-based,1,1,common,0,0.3056654342293206
524,model-based,1,1,common,0,0.3162404499902872
525,model-based,1,1,common,1,0.3177329641294483
526,model-free,0,1,rare,0,0.29922083064789073
527,model-based,1,1,common,0,0.2643830400574766
528,model-based,0,0,common,0,0.30094339931151304
529,model-based,0,0,common,0,0.32690568417824517
530,model-based,0,0,common,1,0.3012056331046016
531,model-free,1,1,common,1,0.3358882316264562
532,model-based,1,1,common,0,0.3282805168179994
533,model-based,1,0,rare,0,0.30758193996405747
534,model-free,0,0,common,0,0.3280862267719819
535,model-free,0,0,common,0,0.358611502686656
536,model-free,1,1,common,0,0.2630424844808084
537,model-based,1,1,common,0,0.25107998554743804
538,model-based,0,1,rare,1,0.25
539,model-based,0,0,common,0,0.45759566081861697
540,model-free,0,0,common,1,0.496800103617685
541,model-based,0,0,common,0,0.48049113610108934
542,model-based,0,1,rare,0,0.26522041754855213
543,model-free,1,1,common,0,0.25
544,model-free,1,1,common,0,0.2960616590436029
545,model-based,1,0,rare,0,0.4710009011870626
546,model-based,0,1,rare,1,0.3283146712806597
547,model-free,1,0,rare,1,0.5158545795516701
548,model-based,1,1,common,0,0.2884387852555896
549,model-based,0,0,common,1,0.5065587712861376
550,model-based,0,0,common,1,0.5600685996484698
551,model-free,0,0,common,1,0.5783873684131005
552,model-based,0,0,common,1,0.5581093539158389
553,model-based,1,1,common,0,0.382975194211172
554,model-free,0,0,common,0,0.5885428861247352
555,model-based,1,1,common,1,0.3991560581090743
556,model-free,1,1,common,0,0.39397396318844063
557,model-free,1,1,common,0,0.36745223424929546
558,model-based,0,0,common,1,0.6771839129647059
559,model-free,0,0,common,1,0.644415526428439
560,model-based,0,0,common,1,0.6804233434159226
561,model-based,0,0,common,1,0.6558218132165539
562,model-free,0,0,common,0,0.6870443191135764
563,model-based,0,0,common,1,0.71882291887311
564,model-free,0,1,rare,0,0.30853769406363624
565,model-based,0,0,common,1,0.7283435793073435
566,model-based,0,0,common,1,0.7235920633897657
567,model-free,0,0,common,1,0.7356998600347375
568,model-based,1,1,common,0,0.25
569,model-based,1,1,common,1,0.2604964671262737
570,model-free,0,0,common,0,0.695562328823689
571,model-based,0,1,rare,1,0.3043458023765059
572,model-based,1,1,common,1,0.2560963588973614
573,model-based,0,0,common,1,0.6522628238372413
574,model-based,0,1,rare,0,0.2645287094725694
575,model-based,1,1,common,0,0.25
576,model-based,0,0,common,1,0.6822670918652396
577,model-based,0,0,common,1,0.6597330654670069
578,model-based,1,1,common,0,0.26397674467497406
579,model-based,0,0,common,0,0.7329811835787347
580,model-free,0,0,common,0,0.75
581,model-based,0,0,common,1,0.7464714075515325
582,model-based,0,0,common,1,0.7413943637494453
583,model-free,0,0,common,1,0.7440556015584188
584,model-based,0,0,common,1,0.7430440436076157
585,model-based,0,0,common,0,0.7274361996575535
586,model-based,0,0,common,1,0.7409519693464005
587,model-based,0,1,rare,0,0.31229407844117824
588,model-based,0,0,common,0,0.7231676848659031
589,model-free,0,0,common,1,0.7235996812244112
590,model-based,1,0,rare,1,0.6830920939798676
591,model-based,1,1,common,0,0.3321762203945034
592,model-based,0,1,rare,1,0.35828884670819117
593,model-based,0,1,rare,0,0.34921675590377865
594,model-based,0,0,common,0,0.7135406021313923
595,model-based,0,0,common,1,0.7289211228422465
596,model-free,1,0,rare,1,0.7297591636428102
597,model-free,0,1,rare,0,0.4555787032939461
598,model-based,0,0,common,0,0.7437802806551501
599,model-free,0,0,common,0,0.75
600,model-free,1,0,rare,0,0.7375096246464662
601,model-free,1,1,common,0,0.5335405829198737
602,model-free,0,0,common,1,0.75
603,model-based,0,0,common,1,0.7270635044015529
604,model-based,0,1,rare,1,0.5523187427218763
605,model-based,0,0,common,0,0.7244515756932146
606,model-based,0,0,common,1,0.7268939749646205
607,model-based,0,0,common,1,0.6891921216009437
608,model-based,1,1,common,0,0.5603697702119627
609,model-free,1,1,common,1,0.5732569942648632
610,model-free,0,0,common,0,0.6539536409327784
611,model-based,0,1,rare,0,0.6560857902950669
